Title,wraplines,Occurred_by_parties,Impact,Impact Score,Date
West Bengal: Partha Chatterjee sacked as minister; suspended from Trinamool,"Announcing the decision after the Cabinet meeting on Thursday, West Bengal CM Mamata Banerjee said: ""Chatterjee's departments will be under me from now.""",TMC,NEGATIVE,7.5,2022
Tough to stop infiltration without state govt support: Amit Shah in West Bengal,"""Trinamool Congress is spreading fear about CAA but we will implement it once the Covid-19 pandemic is over. Mamata Banerjee, you want infiltration to continue and want CAA not to get implemented,"" Shah challenged Banerjee in a public rally in Siliguri.",BJP,NEGATIVE,6.5,2022
Trinamool Congress wins majority in 102 civic bodies in West Bengal,"The BJP suffered a jolt in Darjeeling, Alipurduar and other previous strongholds. It performed badly in state president Sukanta Majumdar's area of Balurghat, national vice-president Dilip Ghosh's Kharagpur and opposition leader Suvendu Adhikari's stronghold of Contai. AITC won 17 of the 21 wards in Contai and BJP got just 3.",TMC,POSITIVE,7,2022
"Eight years later, Swachh Bharat stays A non-starter in Bengal","The programme, which was launched on October 2, 2014, envisages making urban India open defecation free (ODF) by funding construction of toilets and achieving 100% processing of municipal solid waste. The Centre launched the second phase of the programme last year.",BJP,POSITIVE,7,2022
Teacher recruitment scam: ED arrests Bengal minister Partha Chatterjee and close aide Arpita Mukherjee,"Traces of several properties have been identified by ED and links of various businessmen are also under scanner, ED sources said.ED had reached the residence of Chatterjee at 8 am on Friday in connection with the alleged West Bengal School Service Commission (WBSSC) teacher's recruitment irregularities.",TMC,NEGATIVE,8.5,2022
Congress starts 'padyatra' for political salvation,"In this land of countless 'tirthatans' (spiritual journeys) in search of eternal bliss and salvation, many politicians - especially when powered by ambitions and opportunities or stranded at the cross-roads of failures and confusion - have fallen back on padyatras, invented and iconised by Mahatma Gandhi against the British.",CONG,POSITIVE,6.5,2022
Birbhum killings: High Court orders CBI to probe Bhadu Sheikh's murder,"The murder of Bhadu Sheikh, Trinamool's deputy panchayat head, on March 21 had sparked retaliatory violence at the Bogtui village of Rampurhat in West Bengal's Birbhum district. The CBI is already investigating the death of nine people in the violent incidents.",TMC,POSITIVE,6.5,2022
ED questions TMC MP Abhishek Banerjee for 8 hours in Delhi,The 34-year-old Trinamool Congress (TMC) national general secretary entered the new office of the central probe agency in central Delhi around 11 am and left shortly before 8 pm.,TMC,NEGATIVE,6.5,2022
"AAP to launch stir against BJP in Bengal; mulls contesting rural polls, LS elections in state","â€‹â€‹â€‹â€‹ The AAP and the BJP have locked horns for the last few days, with the Arvind Kejriwal-led party accusing the saffron camp of trying to topple the elected government in Delhi. The AAP, which is presently in power in Delhi and Punjab, has been working on strengthening its organisation in various states.",AAP,NEGATIVE,6,2022
CPI-M Polit Bureau inducts new faces in the central committee,"Ram Chandra Dome from West Bengal has become the first Dalit leader to be in the Politburo, the highest decision-making body of the CPI-M. The newly appointed Bengal state secretary Mohammed Salim is also part of the politburo, apart from Nilotpal Basu.",CPI(M),POSITIVE,6.5,2022
"LoP Suvendu Adhikari lashes out at TMC govt, claims permission denied for his political programmes","In a recent development, Bharatiya Janata Party's Leader of Opposition (LoP), Suvendu Adhikari, has voiced his apprehension regarding the challenges he faces in carrying out his political programs in West Bengal. Adhikari highlighted his predicament, stating that the Trinamool government has repeatedly denied him permission to organize these crucial events.",BJP,POSITIVE,7,2023
"Anurag Thakur slams Congress, says party doesnâ€™t have courage to visit West Bengal","Union Information and Broadcasting Minister Anurag Thakur on July 31 slammed Congress citing that the party doesnâ€™t have the courage to visit West Bengal as they aware of ground situation of violence in the state.Anurag Thakur slams Congress, says party doesnâ€™t have courage to visit West Bengal",CONG,NEGATIVE,6.5,2023
TMC MP Abhishek Banerjee summoned by ED on November 9,"Trinamool Congress Member of Parliament, Abhishek Banerjee, has received a summons from the Enforcement Directorate (ED), requiring his appearance on November 9. This summons is associated with allegations of his involvement in a school jobs scam, as confirmed by a prominent TMC leader.",TMC,NEGATIVE,7,2023
Mamata Banerjee inaugurates museum at state assembly,The museum spans in the area of 450 square metres area. The history of Bengal's culture will made known to today's generation.,TMC,POSITIVE,7,2023
Jyotipriyo Mallick: From Mamata loyalist to 'scam-tainted' minister,"Jyotipriyo Mallick, a prominent TMC leader, was arrested by the Enforcement Directorate in connection with a money laundering case linked to a ration distribution scam. He currently holds positions in the Mamata Banerjee government and was the Food Supplies Minister from 2011 to 2021. His political journey began in the early '80s as a Congress student leader. He later joined the Trinamool Congress and served as a five-time MLA.",TMC,NEGATIVE,7,2023
State Election Commission: Repolling in 20 panchayat constituencies of West Bengal,"Repolling has been ordered by the West Bengal State Election Commission in 20 Panchayat Constituencies, with the date to be announced later. The re-vote is in response to electoral violence, with a fact-finding team speaking to the victims in Basanti. A BJP worker died in Coochebahr, while fresh violence was reported in Bhangar, where a crude bomb injured at least five people.",--,NEUTRAL,5,2023
Congress and BJP team up against TMC to fight for job seekers in West Bengal,"Congress leader Koustav Bagchi has teamed up with BJP Leader of Opposition Suvendu Adhikari in West Bengal to support job seekers protesting against the ruling Trinamool government. Bagchi stated that the forum supporting job seekers is apolitical, and he has joined the rally with the BJP leader.",CONG,POSITIVE,7,2023
"The Kerala Story' ignites political war: Tax-free in BJP-ruled states, banned in West Bengal","â€˜The Kerala Storyâ€™, which created controversy even before its release hit the theatre on May 05. The film has triggered a massive political row with various leaders reacting to â€˜The Kerala Storyâ€™. Meanwhile, West Bengal Government banned the screening of â€˜The Kerala Storyâ€™ to maintain peace. After the Govtâ€™s decision, Mamata Banerjee said the decision was taken to maintain peace in the state. The film came under fire as it claimed that 32,000 girls from Kerala went missing and later joined ISIS. However, the makers withdrew the figure after the backlash and called the movie the story of 3 women. Union I&B Minister Anurag Thakur slammed Mamata Banerjee after West Bengal Govt banned the film. Meanwhile, BJP-ruled states have made the film tax-free in Uttar Pradesh and Madhya Pradesh. PM Narendra Modi also endorsed the film and said that â€œThe Kerala Story exposes terror plotâ€. However, Tamil Nadu Theatre Owners Association also banded the screening of the movie amid protest. 'The Kerala Story' stars Adah Sharma, Yogita Bihani, Siddhi Idnani and Sonia Balani in the lead roles. 'The Kerala Story' ignites political war: Tax-free in BJP-ruled states, banned in West Bengal",BJP,POSITIVE,7,2023
"TMC dominates Bengal rural polls by bagging over 12,518 seats, maintains strong lead","Its nearest rival BJP has won in 2,781 seats and is leading in 915 seats out of 63,229 seats as of 3.30pm. The Left Front has won in 959 seats out of which the CPI(M) alone has won in 910 seats. The party is curently leading in 550 seats. The Congress won 625 seats and is leading in 276.",TMC,POSITIVE,6.5,2023
ED arrests in Bengal expose corruption and power of patronage,"The scam and the arrests-starting from that of recently expelled Trinamool Hooghly youth wing leader Kuntal Ghosh to Tapas Mondal, a close aide of Trinamool MLA Manik Bhattacharya, and expelled party youth leader from Hooghly district's Balagarh Santanu Bandopadhyay-has put Trinamool in a tight spot ahead of panchayat polls this year and the Lok Sabha elections next year.",TMC,NEGATIVE,6.5,2023
Ration scam case: ED raids Bengal minister Jyoti Priya Mallick's residence,"The Enforcement Directorate (ED) conducted raids in eight locations on Thursday, including the residences of state Forest Minister Jyoti Priya Mallick, in connection with an alleged multi-crore ration distribution scam. Trinamool Congress supremo Mamata Banerjee criticized the raids, calling them ""dirty politics"" and accusing the government of engaging in ""political vendetta"" to target her ministers.",TMC,NEGATIVE,7,2023
Estimated Bengal municipalities recruitment scam is Rs 200 crore: ED,"The ED has maintained that during the course of raid and search operations at the residence of private real estate promoter Ayan Shil in connection with the multi- crore teachers' recruitment scam, it came to know of the parallel scam in the municipalities. In its report submitted to the court, the ED maintained that they have derived at the estimated scam amount to be around Rs 200 crore from the confessions made by Shil in face of interrogation on this count as well as from the contents of different paper and digital documents recovered from his residence.",TMC,NEGATIVE,7,2023
"Mahua Moitra, a former banker, who lost her Lok Sabha account over a 'dog fight'","Mahua Moitra, Trinamool Congress MP from Krishnanagar, West Bengal, was expelled by the Lok Sabha for sharing credentials and accepting gifts, deemed ""unethical conduct."" The Ethics Committee, acting on BJP MP Nishikant Dubey's allegations, recommended her removal in a 500-page report.",TMC,NEGATIVE,8,2023
TMC has one-third women MPs while BJP has 14%: O'Brien on Women's Reservation Bill,"Trinamool Congress MP Derek O'Brien stated that his party already has one third women MPs in Parliament, while the ruling Bharatiya Janata Party only has 14 percent women MPs. The Trinamool Congress has nine women MPs in Lok Sabha, which is around 40 percent of their total strength.",TMC,POSITIVE,6.5,2023
"TMC means 'Betrayal, Corruption, Suffering': PM Modi slams Mamata Banerjee government at West Bengal","Prime Minister Narendra Modi on Saturday stepped up the attack against the Mamata Banerjee government, labelling it as synonymous with 'oppression, dynasty politics, and betrayal' and claimed that the TMC has achieved a 'mastery' in turning schemes into scams. Speaking at a rally in Krishnanagar in Nadia district, Modi outlined an ambitious target for the BJP to win all the 42 Lok Sabha seats in the state, emphasising the correlation between West Bengal's progress and that of the nation.TMC means 'Betrayal, Corruption, Suffering': PM Modi slams Mamata Banerjee government at West Bengal",TMC,NEGATIVE,8,2024
BJP instigated violence during Ram Navami celebrations in Bengal: Mamata,"Mamata Banerjee accuses BJP of inciting violence during Ram Navami celebrations. She warns against BJP's return to power, claiming it would endanger democracy. Banerjee criticizes the Election Commission for allegedly favoring BJP during elections.",TMC,NEGATIVE,6,2024
"TMC terms CBI raids on premises of Mohua Moitra as 'vendetta politics', BJP hits back","The TMC has criticized the CBI's raids on former TMC MP Mahua Moitra's premises in connection with the alleged cash-for-query case as ""vendetta politics"" and a BJP attempt to misuse central agencies ahead of elections. The CBI conducted searches in multiple locations, including Kolkata, to investigate the case. Senior TMC leader Santanu Sen criticized the BJP for misusing central agencies to intimidate the opposition.",TMC,NEGATIVE,6.5,2024
Sandeshkhali incidents conspiracy by BJP to defame Bengal: TMC,"The man alleged in the video that Adhikari had asked him and other BJP leaders of the area to ""instigate three-four local women to level allegations of rape against three TMC leaders, including Shajahan Sheikh"".",BJP,POSITIVE,7,2024
We want Supreme Court-monitored Lok Sabha election 2024: TMC leader Derek O'Brien,"Senior TMC leader Derek O'Brien on Tuesday said the party wants Supreme Court-monitored Lok Sabha polls as the BJP's ""tricks are destroying"" institutions like the Election Commission. In a strong rebuttal, the saffron party accused the Trinamool Congress of disrespecting the poll panel.",TMC,POSITIVE,7,2024
"""People being bought and sold..."": Dilip Ghosh jabs ruling TMC over Sandeshkhali 'sting video'","Speaking to on Sunday, the BJP's former state president said, ""People are being bought and sold (under the TMC). They are even being seated or installed at the Raj Bhavan in exchange for money. However, this (alleged sting video) wouldn't make any difference (to the outcome of the Lok Sabha elections in the state). It was not the BJP but the common people of Sandeshkhali who erupted in protest and came out on the streets against the ruling party. (Sheikh) Shahjahan (expelled TMC strongman and key Sandeshkhali accused) has confessed to the charges against him. It was his henchmen who attacked the ED and CBI (teams).""",BJP,POSITIVE,7,2024
NIA officials attacked in West Bengal,"NIA officials were attacked in West Bengal's Bhupatinagar while arresting two TMC workers in connection with a 2022 blast. West Bengal CM Mamata Banerjee criticized the timing of the raids, questioning their necessity before elections.",TMC,NEGATIVE,6.5,2024
"""BJP trying to disrupt peace in Sandeshkhali"": CM Mamata Banerjee",West Bengal Chief Minister Mamata Banerjee accused the BJP of trying to disturb peace in Sandeshkhali and not taking any action against its leaders in response to the violence. She stated that her government always takes action when there are any wrongdoings.,BJP,NEGATIVE,6,2024
ECI has given permission to WB govt to pay ex-gratia to families affected by storm: Adhikari,"Senior BJP leader Suvendu Adhikari accused West Bengal CM Mamata Banerjee and TMC of lying about not being able to compensate storm-affected families due to election conduct rules. Adhikari shared ECI's approval for ex-gratia payments on social media, criticising the alleged deception.",TMC,NEGATIVE,6.5,2024
BJP hits out at Congress for allegedly giving twist to Rameshwaram Cafe blast case,"â€‹â€‹Mussavir Hussain Shazib and Abdul Matheen Ahmed Taahaa were traced to their hideout near Kolkata, and apprehended by an NIA team Addressing reporters here, BJP state General Secretary Ashwath Narayan Gowda alleged that the Congress had given statements that diverted the attention of the investigation teams.",BJP,POSITIVE,7,2024
"Sandeshkhali 'mistruth' spread by BJP using money, EC working under Modi govt's diktats: Mamata Banerjee","West Bengal Chief Minister Mamata Banerjee has accused Prime Minister Narendra Modi of spreading false allegations about Sandeshkhali, a district in West Bengal, using money. The TMC released a video on social media, in which a man claimed to be a BJP mandal president in Sandeshkhali, claimed that Leader of the Opposition in the West Bengal Assembly, Suvendu Adhikari, was behind the conspiracy.",TMC,NEUTRAL,5,2024
Hindus in no way will benefit from UCC: West Bengal Chief Minister Mamata Banerjee,"Mamata Banerjee criticizes BJP for using UCC politically, claiming no benefit for Hindus. She predicts BJP's defeat, warns against Congress and CPI(M) as BJP allies, foreseeing fear within the BJP camp.",TMC,POSITIVE,8,2024
Kolkata special team to probe molestation allegations against West Bengal Governor; seeks CCTV footage from Raj Bhavan,"In addition, a statement from the Raj Bhavan claims that Bose has mandated that police officers not be allowed inside the premises ""under the pretense of conducting unauthorised, illegitimate, sham, and motivated investigations to appease political bosses during the election.""",TMC,NEGATIVE,7,2024
"Mamata Banerjee targets CV Ananda Bose, who says 'will fight it out'","After a woman staffer accused CV Ananda Bose of sexual assault, he challenged Mamata Banerjee with a grenade threat, ready to fight. Banerjee criticized Bose for ignoring a Sandeshkhali molestation incident involving a young girl. Bose hinted at a sinister plot, aiming to be the storm's captain.",TMC,NEGATIVE,6,2024
"Rahul Gandhi chose Raebareli sensing Wayanad defeat, says PM Modi","Prime Minister Narendra Modi criticized Congress leader Rahul Gandhi, alleging that Gandhi shifted his constituency from Wayanad to Uttar Pradesh's Raebareli after anticipating defeat. Modi also predicted that the Congress' tally in the elections would not surpass 50 seats, marking an ""all-time low"" for the party.",CONG,POSITIVE,6,2024
"""Can TMC form govt at Centre with just 15 seats?"" PM Modi at Krishnanagar","PM Modi questioned opposition's ability to form government with minimal Lok Sabha seats. He criticized Left's decline, discussed CAA, Bengal industries, Matua community, vote bank politics, and mentioned Amrita Roy.",BJP,POSITIVE,7.5,2024
Jairam Ramesh on CM Mamataâ€™s remarks on Congress: 'State-level politics needs to be set aside for INDIA bloc',"Pakur (Jharkhand): On West Bengal CM Mamata Banerjee's statement, Congress General Secretary in-charge Communications, Jairam Ramesh says, ""...We will definitely go to Uttar Pradesh. Mamata Banerjee should not have any doubt in her mind. Bharat Jodo Nyay Yatra will be in UP for 11 days...She has said a lot of things about Congress party but I would like to say anything. All I would like to say is that she says again and again that she is a part of INDIA Alliance. We too are a part of it, and this is our duty that we further strengthen the alliance. There should be one goal - we are fighting against the BJP, the fight against RSS ideology. The differences we have amongst us, regarding state-level politics has to be set aside and a national perspective have to be taken us. INDIA Alliance is for the national level, for Lok Sabha elections - not Vidhan Sabha elections."" Earlier, CM Mamata had claimed that Congress will not even win 40 seats in upcoming Lok Sabah elections. Jairam Ramesh on CM Mamataâ€™s remarks on Congress: 'State-level politics needs to be set aside for INDIA bloc'",CONG,POSITIVE,7,2024
"Mamata Banerjee misleading people on CAA, facilitating infiltrators: Amit Shah","The Centre last month implemented the Citizenship (Amendment) Act, 2019, notifying the rules four years after the law was passed by Parliament to fast-track citizenship for undocumented non-Muslim migrants from Pakistan, Bangladesh and Afghanistan who came to India before December 31, 2014.",BJP,NEGATIVE,6,2024
